# Fermi-Hubbard model DMRG. L=26, N=13
# V; μ; E; k; D; ρ [calculated 2025-05-29T19:26:34.178]
-2.7551020408163267; 2.63265306122449; -133.93765795657174; -1.1087083088279242e-6; -139.78585589198516; 0.9615383934033036
-2.7551020408163267; 2.693877551020408; -135.46848754306706; 2.95801070415714e-7; -357.4287641668201; 0.9615384115135732
-2.7551020408163267; 2.7551020408163267; -136.99996209414545; 8.136001484748651e-7; 120.38427532220688; 0.9615384613258272
-2.7551020408163267; 2.816326530612245; -138.53021414779778; -1.8054652587788237e-8; -147.8176065341381; 0.9615384602204403
-2.7551020408163267; 2.877551020408163; -140.05922922083855; -9.536403234866622e-7; -795.1983508665577; 0.9615384018342981
-2.7551020408163267; 2.938775510204082; -141.59059150818598; -4.452002034064722e-7; -488.8743123470476; 0.9615383745771428
-2.7551020408163267; 3.0; -143.12186083140932; 1.2986559443373156e-6; 2288.5196805850633; 0.9615384540866904
-2.63265306122449; 0.0; -65.1835790131928; NaN; -22.221019588855384; 0.9615384598267672
-2.63265306122449; 0.061224489795918366; -66.71426803024355; 1.1706285496515534e-7; 2.4684378859710274; 0.9615384612538039
-2.63265306122449; 0.12244897959183673; -68.24489032891056; 2.7593728413322083e-9; 1.8637605058738858; 0.9615384614227451
-2.63265306122449; 0.1836734693877551; -69.7754845332802; -4.057043515951856e-9; 0.1841759672040133; 0.9615384611743547
-2.63265306122449; 0.24489795918367346; -71.30611773394742; 4.3545422453069226e-9; 43.96282908945495; 0.9615384614409593
-2.63265306122449; 0.30612244897959184; -72.83673353249502; 1.2491214729237752e-9; 59.63716674299781; 0.9615384615174362
-2.63265306122449; 0.3673469387755102; -74.36718334167719; -3.247685546418447e-8; -9.385795602489114; 0.9615384595290573
-2.63265306122449; 0.42857142857142855; -75.89794094983023; 2.931434998446986e-8; 66.64867073644338; 0.9615384613238134
-2.63265306122449; 0.4897959183673469; -77.42855049176453; -2.3931983802090895e-9; 1.7631306905774458; 0.961538461177291
-2.63265306122449; 0.5510204081632653; -78.95903973952126; -1.5292791810672678e-8; -51.221991982816334; 0.9615384602409976
-2.63265306122449; 0.6122448979591837; -80.48977550357584; 1.796283107443247e-8; 79.55097423211902; 0.9615384613407628
-2.63265306122449; 0.673469387755102; -82.02027901084035; -1.6905066679839833e-8; 88.8759458550631; 0.9615384603057587
-2.63265306122449; 0.7346938775510204; -83.55069773984783; -6.923255246871199e-8; -42.457731916652094; 0.961538456067031
-2.63265306122449; 0.7959183673469388; -85.08147506194891; 5.111618384123776e-8; 134.63229116238182; 0.9615384591965933
-2.63265306122449; 0.8571428571428571; -86.61222381715613; 3.4230891898801046e-8; 0.39399253101322274; 0.9615384612923622
-2.63265306122449; 0.9183673469387755; -88.14273386714214; -1.061222661598766e-8; 58.23308485735143; 0.961538460642634
-2.63265306122449; 0.9795918367346939; -89.67309773200421; -5.8393533823123814e-8; -7.028305875900689; 0.9615384570675197
-2.63265306122449; 1.0408163265306123; -91.20405838013328; 6.906912120019363e-8; 106.50524890147592; 0.9615384612962414
-2.63265306122449; 1.1020408163265305; -92.73465748616542; -2.9712626433327766e-9; 74.8792067739845; 0.9615384611143274
-2.63265306122449; 1.163265306122449; -94.2652837192838; 3.731673377712255e-9; 7.080981452639181; 0.9615384613427972
-2.63265306122449; 1.2244897959183674; -95.79589699740113; -6.017957613716848e-10; 75.06061270303745; 0.9615384613059526
-2.63265306122449; 1.2857142857142858; -97.32650733021568; -4.657589869339058e-10; 76.1332942791736; 0.9615384612774367
-2.63265306122449; 1.346938775510204; -98.85704022082761; -1.7108023849428893e-8; -27.925582938512903; 0.9615384602300067
-2.63265306122449; 1.4081632653061225; -100.3877464964495; 1.914328588240956e-8; 9.484267356911513; 0.9615384614020446
-2.63265306122449; 1.469387755102041; -101.91833378495147; -7.0681493991031555e-9; -7.66533904437129; 0.9615384609693007
-2.63265306122449; 1.530612244897959; -103.44893927721472; 3.679780332295962e-9; -5.302312520635182; 0.9615384611945934
-2.63265306122449; 1.5918367346938775; -104.97956326148152; 2.1611621011293375e-9; -4.196074654780591; 0.9615384613269095
-2.63265306122449; 1.653061224489796; -106.51009403715913; -7.337713251824114e-9; -32.21886825456131; 0.9615384608776617
-2.63265306122449; 1.7142857142857142; -108.04075547543239; 5.010989179155002e-9; 2.461848642752599; 0.961538461184457
-2.63265306122449; 1.7755102040816326; -109.57140412573443; 1.6760472639395118e-9; -0.8205439664497889; 0.9615384612870721
-2.63265306122449; 1.836734693877551; -111.10199921814917; -5.432059616931415e-10; 43.305101734434835; 0.9615384612538146
-2.63265306122449; 1.8979591836734695; -112.63265006581686; 4.107043409066568e-9; 88.1854826431596; 0.9615384615052662
-2.63265306122449; 1.9591836734693877; -114.16295597829263; -4.2548024955143275e-8; -113.59354646109247; 0.9615384589002851
-2.63265306122449; 2.020408163265306; -115.69356932098331; 1.3194274191737573e-8; 162.27332799260358; 0.9615384597080978
-2.63265306122449; 2.0816326530612246; -117.22444333474414; 2.5138132168459867e-8; 119.07524914779813; 0.9615384612471671
-2.63265306122449; 2.142857142857143; -118.75491773370318; -2.0020897976517492e-8; 21.809631735489305; 0.9615384600213979
-2.63265306122449; 2.204081632653061; -120.28544709690671; 1.6134408623950513e-9; -49.08982554675811; 0.96153846012018
-2.63265306122449; 2.2653061224489797; -121.81588839038243; -1.2157952829679591e-8; -166.73984100910246; 0.9615384593758155
-2.63265306122449; 2.326530612244898; -123.34655968162478; 6.2657248278697055e-9; -37.90797758772915; 0.9615384597594313
-2.63265306122449; 2.3877551020408165; -124.87695173044118; -2.5488934740636063e-8; 111.04671244264357; 0.9615384581988843
-2.63265306122449; 2.4489795918367347; -126.40812758194342; 5.1446838122970594e-8; 14.469607934660836; 0.9615384613486907
-2.63265306122449; 2.510204081632653; -127.9383047619417; -5.618406188438281e-8; -17.37958136102012; 0.9615384579088502
-2.63265306122449; 2.5714285714285716; -129.4692532457779; 4.8013294525380235e-8; 216.6982288697887; 0.9615384608484396
-2.63265306122449; 2.63265306122449; -130.99998377714283; 9.664736529598414e-9; -1.0432982513098679; 0.9615384614401582
-2.63265306122449; 2.693877551020408; -132.52969651095776; -3.4659549090025234e-7; -360.76325848332124; 0.9615384402200261
-2.63265306122449; 2.7551020408163267; -134.06032673801855; 2.3827388044110034e-7; -348.4165830366948; 0.9615384548082229
-2.63265306122449; 2.816326530612245; -135.59179631576697; 1.0680014524607419e-7; 309.67072296788643; 0.9615384613470073
-2.63265306122449; 2.877551020408163; -137.11839957895617; -3.929774511912686e-6; -1292.930908564723; 0.9615382207485678
-2.63265306122449; 2.938775510204082; -138.653020242512; 3.929838349588543e-6; 189.8679385599673; 0.9615384613509157
